flag,count,total_hits_analyzed
has_seam_or_burst,0,1000
order_anomaly,324,1000
proactive_event_tracker,93,1000
triald,213,1000
TRILogEvent,41,1000
ABTest,0,1000
variant,118,1000
bucket,231,1000
